placeholder,wordNumber,tocflLevel,wordSimplified,wordTraditional,wordPinyin,wordType,wordTranslation
,1,1,名字,名字,míngzi,(N),name
,2,1,姓,姓,xìng ,(VA),surname
,3,1,姓名,姓名,xìngmíng ,(N),name
,4,1,生日,生日,shēngrì ,(N),birthday
,5,1,来,來,lái ,(VA),come
,6,1,公园,公園,gōngyuán ,(N),garden
,7,1,住,住,zhù ,(VA),live
,8,1,国家,國家,guójiā ,(N),nation
,9,1,中国,中國,zhōngguó ,(N),china
,10,1,台湾,台灣,táiwān,(N),taiwan
,11,1,美国,美國,měiguó ,(N),usa
,12,1,日本,日本,rìběn ,(N),japan
,13,1,人,人,rén ,(N),people
,14,1,城市,城市,chéngshì ,(N),city
,15,1,街,街,jiē ,(N),street
,16,1,路,路,lù ,(N),road
,17,1,号,號,hào ,(M),number
,18,1,号码,號碼,hàomǎ ,(N),number
,19,1,电话,電話,diànhuà ,(N),telephone
,20,1,手机,手機,shǒujī ,(N),cell phone
,21,1,打电话,打電話,dǎdiànhuà ,(VA),call up
,22,1,电子邮件,電子郵件,diàn​zǐ​yóu​jiàn,(N),e-mail
,23,1,结婚,結婚,jiéhūn ,(VA),marry
,24,1,年,年,nián ,(M),year
,25,1,去年,去年,qùnián ,(N),last year
,26,1,明年,明年,míngnián ,(N),next year
,27,1,今年,今年,jīnnián ,(N),this year
,28,1,月,月,yuè ,(N),moon
,29,1,日,日,rì ,(N),day
,30,1,时候,時候,shíhòu ,(N),when
,31,1,小时,小時,xiǎoshí ,(N),hour
,32,1,点,點,diǎn,(M),point
,33,1,点钟,點鐘,diǎnzhōng,(M),point
,34,1,分,分 ,fēn,(M),point 
,35,1,分钟,分鐘,fēnzhōng,(N),minute
,36,1,早上,早上,zǎoshang ,(N),in the morning
,37,1,上午,上午,shàngwǔ ,(N),morning
,38,1,中午,中午,zhōngwǔ ,(N),noon
,39,1,下午,下午,xiàwǔ ,(N),afternoon
,40,1,晚上,晚上,wǎnshang ,(N),in the evening
,41,1,星期,星期,xīngqí,(N),week
,42,1,星期天/星期日,星期天/星期日,xīngqítiān/xīngqírì ,(N),sunday/sunday
,43,1,周末/周末,週末/周末,zhōumò ,(N),weekend/weekend
,44,1,天,天,tiān ,(N),sky
,45,1,天,天 ,tiān ,(M),sky 
,46,1,昨天,昨天,zuótiān ,(N),yesterday
,47,1,今天,今天,jīntiān ,(N),today
,48,1,明天,明天,míngtiān ,(N),tomorrow
,49,1,现在,現在,xiànzài ,(N),now
,50,1,夏天,夏天,xiàtiān ,(N),summer
,51,1,冬天,冬天,dōngtiān ,(N),winter
,52,1,秋天,秋天,qiūtiān ,(N),autumn
,53,1,春天,春天,chūntiān ,(N),spring
,54,1,大家,大家,dàjiā ,(N),everyone
,55,1,岁,歲,suì ,(M),age
,56,1,年轻,年輕,niánqīng ,(VS),young
,57,1,老,老,lǎo ,(VS),old
,58,1,男,男,nán ,(N),male
,59,1,男生,男生,nánshēng ,(N),boy
,60,1,女,女,nǚ ,(N),female
,61,1,女生,女生,nǚshēng ,(N),girl
,62,1,先生,先生,xiānshēng ,(N),gentlemen
,63,1,太太,太太,tàitai ,(N),mrs
,64,1,小姐,小姐,xiǎojiě ,(N),miss
,65,1,小孩,小孩,xiǎohái,(N),child
,66,1,家,家,jiā ,(N),home
,67,1,家人,家人,jiārén ,(N),family
,68,1,爸爸,爸爸,bàba,(N),dad
,69,1,妈妈,媽媽,māma,(N),mother
,70,1,孩子,孩子,háizi ,(N),child
,71,1,儿子,兒子,érzǐ,(N),son
,72,1,女儿,女兒,nǚér ,(N),daughter
,73,1,弟弟,弟弟,dìdi,(N),younger brother
,74,1,哥哥,哥哥,gēge,(N),elder brother
,75,1,妹妹,妹妹,mèimei ,(N),younger sister
,76,1,姊姊/姐姐,姊姊/姐姐,jiějie,(N),sister/sister
,77,1,好,好,hǎo ,(Adv),good
,78,1,真,真,zhēn ,(Adv),real
,79,1,很,很,hěn ,(Adv),very
,80,1,太,太,tài ,(Adv),too
,81,1,非常,非常,fēicháng ,(Adv),very
,82,1,笑,笑,xiào ,(VA),laugh
,83,1,高兴,高興,gāoxìng ,(VS),happy
,84,1,快乐,快樂,kuàilè ,(VS),hapiness
,85,1,紧张,緊張,jǐnzhāng ,(VS),nervous
,86,1,爱,愛,ài ,(VS),like
,87,1,喜欢,喜歡,xǐhuān ,(VS),like
,88,1,觉得,覺得,juéde,(VS),feel
,89,1,漂亮,漂亮,piàoliang ,(VS),beautiful
,90,1,好看,好看,hǎokàn ,(VS),nice
,91,1,可爱,可愛,kěài ,(VS),cute
,92,1,胖,胖,pàng ,(VS),fat
,93,1,高,高,gāo ,(VS),high
,94,1,矮,矮,ǎi ,(VS),short
,95,1,瘦,瘦,shòu ,(VS),thin
,96,1,第,第,dì ,(Det),first
,97,1,零,零,líng ,(Det),zero
,98,1,一,一,yī ,(Det),one
,99,1,二,二,èr ,(Det),two
,100,1,两,兩,liǎng ,(Det),two
,101,1,三,三,sān ,(Det),three
,102,1,四,四,sì ,(Det),four
,103,1,五,五,wǔ ,(Det),five
,104,1,六,六,liù ,(Det),six
,105,1,七,七,qī ,(Det),seven
,106,1,八,八,bā ,(Det),eight
,107,1,九,九,jiǔ ,(Det),nine
,108,1,十,十,shí ,(Det),ten
,109,1,百,百,bǎi ,(Det),hundred
,110,1,千,千,qiān ,(Det),thousand
,111,1,万,萬,wàn ,(Det),ten thousand
,112,1,半,半,bàn ,(Det),half
,113,1,个,個,gè ,(M),indivual
,114,1,我,我,wǒ ,(N),i
,115,1,你/妳,你/妳,nǐ ,(N),you/you
,116,1,您,您,nín ,(N),you
,117,1,他/她,他/她,tā,(N),he she
,118,1,我们,我們,wǒmen ,(N),us
,119,1,你们/妳们,你們/妳們,nǐmen ,(N),you/you
,120,1,他们/她们,他們/她們,tāmen,(N),they/they
,121,1,在,在,zài ,(Prep),exist
,122,1,在,在 ,zài ,(Adv),exist 
,123,1,从,從,cóng ,(Prep),from
,124,1,是,是,shì ,N/A,yes
,125,1,的,的,de ,(P),of
,126,1,谁,誰,shéi ,(N),who
,127,1,医院,醫院,yīyuàn ,(N),hospital
,128,1,办公室,辦公室,bàngōngshì ,(N),office
,129,1,工厂,工廠,gōngchăng ,(N),factory
,130,1,工人,工人,gōngrén ,(N),worker
,131,1,老师,老師,lǎoshī ,(N),teacher
,132,1,医生,醫生,yīshēng ,(N),doctor
,133,1,护士,護士,hùshì ,(N),nurse
,134,1,司机,司機,sījī ,(N),driver
,135,1,老板/老板,老闆/老板,lǎobǎn,(N),boss/boss
,136,1,同事,同事,tóngshì  ,(N),colleague
,137,1,公司,公司,gōngsī ,(N),company
,138,1,买,買,mǎi ,(VA),purchase
,139,1,卖,賣,mài ,(VA),sell
,140,1,计算机,電腦,diànnǎo ,(N),computer
,141,1,工作,工作,gōngzuò ,(N),work
,142,1,上班,上班,shàngbān ,(VA),work
,143,1,准备,準備,zhǔnbèi ,(VA),prepare
,144,1,忙,忙,máng ,(VS),busy
,145,1,学校,學校,xuéxiào ,(N),school
,146,1,小学,小學,xiǎoxué ,(N),primary school
,147,1,中学,中學,zhōngxué ,(N),middle school
,148,1,大学,大學,dàxué ,(N),university
,149,1,年级,年級,niánjí ,(N),grade
,150,1,学生,學生,xuéshēng ,(N),student
,151,1,上学,上學,shàngxué ,(VA),go to school
,152,1,上课,上課,shàngkè ,(VA),attend class
,153,1,下课,下課,xiàkè ,(VS),leave class
,154,1,作业,作業,zuòyè ,(N),operation
,155,1,功课,功課,gōngkè ,(N),homework
,156,1,请假,請假,qǐngjià ,(VA),ask for leave
,157,1,考试,考試,kǎoshì ,(VA),take an exam
,158,1,考试,考試 ,kǎoshì ,(N),take an exam 
,159,1,图书馆,圖書館,túshūguǎn ,(N),library
,160,1,教室,教室,jiàoshì ,(N),classroom
,161,1,洗手间/厕所,洗手間/廁所,xǐshǒujiān/cèsuǒ,(N),toilet room/toilet
,162,1,餐厅/饭馆,餐廳/飯館,cāntīng/ fànguǎn,(N),restaurant/restaurant
,163,1,历史,歷史,lìshĭ,(N),history
,164,1,数学,數學,shùxué ,(N),math
,165,1,语言,語言,yǔyán ,(N),language
,166,1,科学,科學,kēxué ,(N),science
,167,1,英文,英文,yīngwén ,(N),english
,168,1,华语/华文,華語/華文,huáyǔ/huáwén ,(N),chinese/chinese
,169,1,黑板,黑板,hēibǎn ,(N),blackboard
,170,1,笔,筆,bǐ ,(N),pen
,171,1,纸,紙,zhǐ ,(N),paper
,172,1,课本,課本,kèběn ,(N),textbook
,173,1,本,本,běn ,(M),book
,174,1,字,字,zì ,(N),character
,175,1,句子,句子,jùzi ,(N),sentence
,176,1,注意,注意,zhùyì ,(VS),notice
,177,1,写,寫,xiě ,(VA),write
,178,1,听,聽,tīng ,(VA),listen
,179,1,读,讀,dú ,(VA),read
,180,1,读书,讀書,dúshū ,(VA),read
,181,1,说,說,shuō ,(VA),explain
,182,1,说话,說話,shuōhuà ,(VA),say
,183,1,学,學,xué ,(VA),study
,184,1,学习,學習,xuéxí ,(VA),study
,185,1,练习,練習,liànxí ,(VA),practise
,186,1,问,問,wèn ,(VA),ask
,187,1,问题,問題,wèntí ,(N),question
